builder_id,Builder_name,Builder_ratings
502525.0,Winsome Realty,4
100412477.0,Shashvat Buildcon,2
740422.0,Nilkanth Developer,3
108130.0,Krish Developer,2
1938130.0,Civic Organisers,4
1255415.0,Shree Hari Developers Sanand,5
615614.0,Rajeshri Group,3
1646955.0,Shubh Infrastructure Ahmedabad,4
567203.0,Shakti Homes,2
1480096.0,Satyamev Group,4
1664797.0,Rivya Buildcon,3
1161808.0,Ratnakar Infrabuild,5
105088.0,Shivam Developers Pvt Ltd,4
580648.0,Yash Corporation,4
567238.0,Vitthal Construction,2
1478974.0,Tirupati Developers Ahmedabad,2
828951.0,Panchamrut Infra,2
1477232.0,Ghoghari Developers,3
264505.0,Swastik Property,4
572808.0,Aayat Infrastructure,2
1220280.0,Shivam Developers Ahmedabad,3
1163626.0,Mahadev Developers Ahmedabad,5
1891365.0,Maharsh Builders LLP,4
110598.0,Tatva Associates,3
1163361.0,Krishna Builders Ahmedabad,4
1714310.0,Scarlet Infrastucture,4
557724.0,Swetalee Developers,3
100309.0,Ajmera Group,4
101761.0,Ramani Realtors,5
102579.0,Sarjak Infrastructure,2
1278539.0,Shree Buildcon Ahmedabad,4
101212.0,Sahjanand,5
106609.0,Narayan Krupa Builders,4
112892.0,Sangath IPL Group,4
1258520.0,Shreeji Buildcon Motera,5
104599.0,Mitsumi Infrastructure,2
620736.0,Vibhuti Developers,2
1255321.0,Dharmjivan Infrastructure,2
100308717.0,Shreeyam Infra,4
102038.0,Whistling Group,5
100016036.0,Rajharsh Devlopers,2
1840761.0,Mayur Naranbhai Patel,3
102732.0,Shiv builder,2
1219890.0,Shilp Buildcon Ahmedabad,5
102125.0,Dhara Group,4
1223203.0,Millennium Infrastructure,3
100080944.0,H N Infra,5
106315.0,Ugati Group,5
100138581.0,Parshwa Build Projects LLP,3
830528.0,Arista Infrastructure,3
102209.0,Olive,4
1753389.0,Revanta Construction LLP,3
515144.0,Savvy Group,2
1791126.0,Vrundavan Infrastructure,2
102414.0,Shilp Infrastructure Ahmedabad,4
109587.0,Sai Krupa Project,5
557510.0,Kailash Corporation,5
264485.0,Akshar Groups,2
109603.0,Prerna Infrabuild,4
1154411.0,Green Turban,3
1563455.0,Shreem Realty,5
603150.0,Lakshya Infrastructures,4
1255836.0,Moksha Group,2
552418.0,Kraft Construction,2
1808360.0,Ambar Enterprises,3
109588.0,Samruddhi,4
2029334.0,Unique Realty Ahmedabad,4
1450446.0,KGB Buildcon,5
613499.0,N R Project,4
101576.0,Aavkar Infrastructure,4
572811.0,Elements Projects,3
1280210.0,Shivam Developers Memnagar,2
264550.0,Arjun,4
1163553.0,Keshavpriya Corp,2
263329.0,Sparsh Procon,2
100153821.0,Adi Shantigram Estates,2
1445072.0,Serenity Group,5
105299.0,Environ Builders And Developers,5
1253725.0,Sadhna Buildcon,2
109577.0,Akshay,5
595533.0,Pavanj Developers,5
1158038.0,Yash Realty Ahmedabad,2
100086402.0,R M Foundation,3
579807.0,Pelican,3
572881.0,Vision Reality Developers,4
1280045.0,Diya Infra,5
1989843.0,Kirti Developer,2
577249.0,Shukun Properties Private,4
109021.0,Gokul,2
100371384.0,Riviera Builder,4
1463786.0,Shikhar Developers Ahmedabad,2
1461081.0,Aryanparv Developers,4
1253768.0,Gajanan Developers,4
107835.0,Tulsi Buildcon Vadodra,4
1377890.0,Aalay Developers Ahmedabad,5
1293851.0,Nisarg Infrastructure,2
109578.0,KGB,3
1279544.0,Bhavi Enterprise LLP,4
106472.0,Hariom Developers,3
113781.0,Arth Developers,3
572818.0,Purohit Contruction,5
112204.0,Shiv Buildcon,2
106063.0,Yashbhumi Construction,5
1144712.0,Karnavati Developers,2
579913.0,Shakti Corporation,5
570648.0,Teraiya Group,2
108114.0,Narnarayan,3
109827.0,Shree Ami Infrastructure,2
567271.0,Rajnand Developers,5
1257200.0,Suryan Ahmedabad,5
1144524.0,Smit Developers,2
572900.0,M A Construction,4
737328.0,Pyramid Infrastructures,3
104626.0,Friends,4
1256731.0,Shree Ram Infrastructure,3
1307910.0,Rococo Buildcon,2
1160273.0,Maharaj Infrastructure,2
590168.0,Hiloni Group,3
1220100.0,Shiv Shakti Creation,2
1792094.0,Smit Infra,2
1763394.0,Rajvi Developers Ahmedabad,3
1258529.0,Riya Developers,5
100092490.0,Teraiya Developers Ahmedabad,2
2221707.0,Balaji Reality,3
594201.0,Aatmiya,4
109580.0,Sparsh,3
100130774.0,Superb Buildcon,5
100289383.0,The Royal Builders,4
1278522.0,Shyam Corporation Ahmedabad,2
1365359.0,Vrundavan Corporation,3
1778458.0,Shreeji Infra Bogha,5
1633977.0,Sanskrut Infra,3
100668.0,Shree Balaji Group,2
1762550.0,Sarjan Buildcon,2
1426761.0,Aatrey Naroda Infracon,4
1616155.0,Care Construction,2
504788.0,Laxminarayan,2
106033.0,Shree Developers,3
1219659.0,Maruti Buildcon Ahmedabad,2
1160267.0,Devkunj Infra,4
1153793.0,Shiv Developers Gujarat,2
567226.0,Shashwat Procon,4
1480345.0,Swastik Homes,3
102077.0,Shree Balaji Construction,4
579769.0,Lotus Developers Ahmedabad,2
1219721.0,Siddhi Infra,3
106419.0,Himgiri Associates,5
100309842.0,JD Infrastructure,3
1443605.0,Parth Corporation Chandlodiya,3
1965487.0,Sai Builders 500,5
828893.0,Maple Greens Developers,3
1279804.0,S V Construction,5
1256570.0,Panchtara Construction,2
105764.0,RG Developers,4
107397.0,Dharnidhar Developers,5
105148.0,The Shalin,4
